month,year,route,avg_fare_inr,min_fare_inr,max_fare_inr,sample_size,source_note
2025-10,2025,DEL-BOM,5478.50,3200.00,12500.00,15234,DGCA Fare Monitoring Report
2025-10,2025,BLR-DEL,6123.75,3800.00,14200.00,12456,DGCA Fare Monitoring Report
2025-10,2025,MAA-CCU,5756.20,3500.00,13100.00,8901,DGCA Fare Monitoring Report
2025-10,2025,HYD-BOM,4812.30,2800.00,11200.00,9876,DGCA Fare Monitoring Report
2025-10,2025,DEL-GOI,4189.60,2500.00,10800.00,7654,DGCA Fare Monitoring Report
2025-10,2025,BOM-BLR,3923.40,2200.00,9500.00,11234,DGCA Fare Monitoring Report
2025-11,2025,DEL-BOM,5612.80,3300.00,13000.00,15678,DGCA Fare Monitoring Report
2025-11,2025,BLR-DEL,6289.45,3900.00,14500.00,12789,DGCA Fare Monitoring Report
2025-11,2025,MAA-CCU,5890.10,3600.00,13400.00,9123,DGCA Fare Monitoring Report
2025-11,2025,HYD-BOM,4956.70,2900.00,11500.00,10012,DGCA Fare Monitoring Report
2025-11,2025,DEL-GOI,4298.30,2600.00,11000.00,7890,DGCA Fare Monitoring Report
2025-11,2025,BOM-BLR,4067.90,2300.00,9800.00,11456,DGCA Fare Monitoring Report
2025-12,2025,DEL-BOM,5890.20,3500.00,14500.00,16234,DGCA Fare Monitoring Report
2025-12,2025,BLR-DEL,6512.30,4100.00,15200.00,13234,DGCA Fare Monitoring Report
2025-12,2025,MAA-CCU,6123.50,3800.00,14000.00,9456,DGCA Fare Monitoring Report
2025-12,2025,HYD-BOM,5189.40,3100.00,12000.00,10345,DGCA Fare Monitoring Report
2025-12,2025,DEL-GOI,4512.70,2800.00,12500.00,8234,DGCA Fare Monitoring Report
2025-12,2025,BOM-BLR,4234.60,2500.00,10500.00,11789,DGCA Fare Monitoring Report
2026-01,2026,DEL-BOM,5534.90,3250.00,12800.00,15456,DGCA Fare Monitoring Report
2026-01,2026,BLR-DEL,6198.20,3850.00,14300.00,12567,DGCA Fare Monitoring Report
2026-01,2026,MAA-CCU,5812.40,3550.00,13200.00,9012,DGCA Fare Monitoring Report
2026-01,2026,HYD-BOM,4878.50,2850.00,11300.00,9945,DGCA Fare Monitoring Report
2026-01,2026,DEL-GOI,4234.80,2550.00,10900.00,7734,DGCA Fare Monitoring Report
2026-01,2026,BOM-BLR,3978.30,2250.00,9600.00,11345,DGCA Fare Monitoring Report
2026-02,2026,DEL-BOM,5389.60,3180.00,12600.00,14890,DGCA Fare Monitoring Report
2026-02,2026,BLR-DEL,6056.80,3780.00,14100.00,12345,DGCA Fare Monitoring Report
2026-02,2026,MAA-CCU,5698.70,3480.00,13000.00,8789,DGCA Fare Monitoring Report
2026-02,2026,HYD-BOM,4756.20,2780.00,11100.00,9678,DGCA Fare Monitoring Report
2026-02,2026,DEL-GOI,4123.40,2480.00,10700.00,7567,DGCA Fare Monitoring Report
2026-02,2026,BOM-BLR,3867.80,2180.00,9400.00,11123,DGCA Fare Monitoring Report
2026-03,2026,DEL-BOM,5623.40,3350.00,13100.00,15890,DGCA Fare Monitoring Report
2026-03,2026,BLR-DEL,6345.60,3950.00,14600.00,12890,DGCA Fare Monitoring Report
2026-03,2026,MAA-CCU,5945.30,3650.00,13500.00,9234,DGCA Fare Monitoring Report
2026-03,2026,HYD-BOM,5012.80,2950.00,11600.00,10123,DGCA Fare Monitoring Report
2026-03,2026,DEL-GOI,4356.90,2650.00,11100.00,7945,DGCA Fare Monitoring Report
2026-03,2026,BOM-BLR,4123.50,2350.00,9900.00,11567,DGCA Fare Monitoring Report
2026-04,2026,DEL-BOM,5456.70,3220.00,12700.00,15234,DGCA Fare Monitoring Report
2026-04,2026,BLR-DEL,6167.40,3830.00,14250.00,12456,DGCA Fare Monitoring Report
2026-04,2026,MAA-CCU,5778.90,3520.00,13150.00,8956,DGCA Fare Monitoring Report
2026-04,2026,HYD-BOM,4845.60,2830.00,11250.00,9812,DGCA Fare Monitoring Report
2026-04,2026,DEL-GOI,4212.30,2530.00,10850.00,7678,DGCA Fare Monitoring Report
2026-04,2026,BOM-BLR,3956.70,2230.00,9550.00,11289,DGCA Fare Monitoring Report
2026-05,2026,DEL-BOM,5712.30,3400.00,13200.00,15678,DGCA Fare Monitoring Report
2026-05,2026,BLR-DEL,6423.50,4000.00,14700.00,12789,DGCA Fare Monitoring Report
2026-05,2026,MAA-CCU,6012.40,3700.00,13600.00,9345,DGCA Fare Monitoring Report
2026-05,2026,HYD-BOM,5078.90,3000.00,11700.00,10234,DGCA Fare Monitoring Report
2026-05,2026,DEL-GOI,4423.60,2700.00,11200.00,8012,DGCA Fare Monitoring Report
2026-05,2026,BOM-BLR,4189.20,2400.00,10000.00,11678,DGCA Fare Monitoring Report
2026-06,2026,DEL-BOM,5567.80,3280.00,12900.00,15456,DGCA Fare Monitoring Report
2026-06,2026,BLR-DEL,6234.70,3880.00,14400.00,12567,DGCA Fare Monitoring Report
2026-06,2026,MAA-CCU,5856.30,3580.00,13300.00,9123,DGCA Fare Monitoring Report
2026-06,2026,HYD-BOM,4923.40,2880.00,11400.00,9945,DGCA Fare Monitoring Report
2026-06,2026,DEL-GOI,4278.50,2580.00,10950.00,7734,DGCA Fare Monitoring Report
2026-06,2026,BOM-BLR,4034.60,2280.00,9700.00,11389,DGCA Fare Monitoring Report
2026-07,2026,DEL-BOM,5645.20,3320.00,13050.00,15567,DGCA Fare Monitoring Report
2026-07,2026,BLR-DEL,6312.80,3920.00,14550.00,12678,DGCA Fare Monitoring Report
2026-07,2026,MAA-CCU,5923.70,3630.00,13450.00,9189,DGCA Fare Monitoring Report
2026-07,2026,HYD-BOM,4989.50,2920.00,11550.00,10089,DGCA Fare Monitoring Report
2026-07,2026,DEL-GOI,4334.20,2630.00,11050.00,7856,DGCA Fare Monitoring Report
2026-07,2026,BOM-BLR,4089.80,2320.00,9850.00,11478,DGCA Fare Monitoring Report
2026-08,2026,DEL-BOM,5789.40,3380.00,13150.00,15689,DGCA Fare Monitoring Report
2026-08,2026,BLR-DEL,6389.90,3980.00,14650.00,12789,DGCA Fare Monitoring Report
2026-08,2026,MAA-CCU,5978.60,3680.00,13550.00,9267,DGCA Fare Monitoring Report
2026-08,2026,HYD-BOM,5045.30,2960.00,11650.00,10156,DGCA Fare Monitoring Report
2026-08,2026,DEL-GOI,4389.70,2680.00,11150.00,7923,DGCA Fare Monitoring Report
2026-08,2026,BOM-BLR,4156.40,2360.00,9950.00,11567,DGCA Fare Monitoring Report
