month,year,airline,passengers_carried,freight_tonnes,load_factor_pct,flights_operated,source_note
2025-10,2025,IndiGo,8234567,28456.3,89.2,56234,DGCA Monthly Domestic Traffic Report
2025-10,2025,Air India,2456789,12345.6,82.1,18456,DGCA Monthly Domestic Traffic Report
2025-10,2025,SpiceJet,1234567,5678.9,78.5,9876,DGCA Monthly Domestic Traffic Report
2025-10,2025,Akasa Air,987654,2345.1,85.3,7654,DGCA Monthly Domestic Traffic Report
2025-10,2025,Air India Express,1567890,4567.2,83.7,11234,DGCA Monthly Domestic Traffic Report
2025-10,2025,Vistara,1876543,6789.4,80.9,13456,DGCA Monthly Domestic Traffic Report
2025-11,2025,IndiGo,8567890,29234.5,90.1,57890,DGCA Monthly Domestic Traffic Report
2025-11,2025,Air India,2567890,12678.3,83.4,19012,DGCA Monthly Domestic Traffic Report
2025-11,2025,SpiceJet,1198765,5432.1,77.8,9654,DGCA Monthly Domestic Traffic Report
2025-11,2025,Akasa Air,1023456,2567.8,86.1,7890,DGCA Monthly Domestic Traffic Report
2025-11,2025,Air India Express,1623456,4789.3,84.2,11567,DGCA Monthly Domestic Traffic Report
2025-11,2025,Vistara,1912345,6923.5,81.5,13789,DGCA Monthly Domestic Traffic Report
2025-12,2025,IndiGo,9012345,31567.8,91.5,59876,DGCA Monthly Domestic Traffic Report
2025-12,2025,Air India,2789012,13456.7,85.2,20123,DGCA Monthly Domestic Traffic Report
2025-12,2025,SpiceJet,1345678,5890.2,80.1,10234,DGCA Monthly Domestic Traffic Report
2025-12,2025,Akasa Air,1123456,2789.4,87.3,8234,DGCA Monthly Domestic Traffic Report
2025-12,2025,Air India Express,1712345,5012.6,85.8,12012,DGCA Monthly Domestic Traffic Report
2025-12,2025,Vistara,2012345,7234.1,82.9,14234,DGCA Monthly Domestic Traffic Report
2026-01,2026,IndiGo,8456789,28890.2,88.7,56789,DGCA Monthly Domestic Traffic Report
2026-01,2026,Air India,2612345,12890.1,83.8,19456,DGCA Monthly Domestic Traffic Report
2026-01,2026,SpiceJet,1267890,5567.3,79.2,9987,DGCA Monthly Domestic Traffic Report
2026-01,2026,Akasa Air,1078901,2678.5,86.7,8012,DGCA Monthly Domestic Traffic Report
2026-01,2026,Air India Express,1645678,4890.4,84.5,11789,DGCA Monthly Domestic Traffic Report
2026-01,2026,Vistara,1945678,7012.3,81.8,13890,DGCA Monthly Domestic Traffic Report
2026-02,2026,IndiGo,7890123,26789.4,87.9,54321,DGCA Monthly Domestic Traffic Report
2026-02,2026,Air India,2345678,11890.5,82.5,18234,DGCA Monthly Domestic Traffic Report
2026-02,2026,SpiceJet,1156789,5234.6,78.1,9567,DGCA Monthly Domestic Traffic Report
2026-02,2026,Akasa Air,1034567,2567.2,85.9,7789,DGCA Monthly Domestic Traffic Report
2026-02,2026,Air India Express,1589012,4678.7,83.9,11456,DGCA Monthly Domestic Traffic Report
2026-02,2026,Vistara,1889012,6890.2,81.2,13567,DGCA Monthly Domestic Traffic Report
2026-03,2026,IndiGo,8678901,29567.1,89.8,57654,DGCA Monthly Domestic Traffic Report
2026-03,2026,Air India,2678901,13012.3,84.1,19789,DGCA Monthly Domestic Traffic Report
