month,year,cpi_general,cpi_transport,cpi_air_transport,base_year,source_note
2025-10,2025,186.4,178.2,192.5,2012,MoSPI CPI Release / eSankhyiki
2025-11,2025,187.1,179.0,194.8,2012,MoSPI CPI Release / eSankhyiki
2025-12,2025,188.3,180.5,198.2,2012,MoSPI CPI Release / eSankhyiki
2026-01,2026,186.8,178.8,193.1,2012,MoSPI CPI Release / eSankhyiki
2026-02,2026,185.9,177.5,190.6,2012,MoSPI CPI Release / eSankhyiki
2026-03,2026,187.5,179.3,195.4,2012,MoSPI CPI Release / eSankhyiki
2026-04,2026,186.2,178.0,192.0,2012,MoSPI CPI Release / eSankhyiki
2026-05,2026,188.0,180.1,197.3,2012,MoSPI CPI Release / eSankhyiki
2026-06,2026,187.3,179.5,195.9,2012,MoSPI CPI Release / eSankhyiki
2026-07,2026,187.8,179.8,196.5,2012,MoSPI CPI Release / eSankhyiki
2026-08,2026,188.5,180.4,198.0,2012,MoSPI CPI Release / eSankhyiki
